RCS04|Research Software & Data Engineering (RSDE) Support
RCS01|Research Computing
RCS02|Research Outreach Activities & Consultancy
RCS03|Research Applications
RCS05|Servers and Data Services
S-RES001|Research Consultancy (short term)
S-RES003|Research infrastructure
S-RES004|Research IT External Engagement
S-RES005|Research Sysadmin Service
S-RES006|Research IT Training
S-RES007|Mobile Development Service
S-RES008|Visualization and Data Analysis Lab
S-RES009|Research Data Management
S-RES010|Edge Compute and Satellite Storage Service
S-RES011|Web Application Development Service
S-RES-P003|Human Brain Project (CS, Furber)
S-RES-P014|Dialectics of Modernity
S-RES-P015|Digital Humanities
S-RES-P016|REVISIT
S-RES-P017|PROCAS-2
S-RES-P018|Digital Emerging Cancer Medicine Team (AZ/UoM)
S-RES-P019|LightForm (Materials, Quinta da Fonseca)
S-RES-P021|Biologic Studies Group (Kath Watson)
S-RES-P027|PINGR - CHI (Jung, Brown)
S-RES-P028|Connected Health - CHI (Machin)
S-RES-P031|e-Lab - CHI (Couch)
S-RES-P033|PICo (Haroon, Azadbakht)
S-RES-P036|CALM pipe analysis
S-RES-P037|BioExcel (Goble)
S-RES-P040|Caroline Jay Turing Fellowship
S-RES-P041|HiLeMMS (Revell)
S-RES-P043|TeSS (Goble)
S-RES-P044|NCISH
S-RES-P045|SALVE (Dinsdale)
S-RES-P046|NDEC
S-RES-P047|Author Matching (Hum, Nini)
S-RES-P048|RIT COVID-19 Response
S-RES-P049|SEEK (Goble)
S-RES-P050|ExposureBee (Launder-Polya)
S-RES-P051|Memories of the Gay Village (Balmer, Barron)
S-RES-P052|Conflict, Memory and Migration (Harte)
S-RES-P053|Recovery, Renewal, Resilient (Shaw)
S-RES-P054|COVID TTI Simulation (Jay)
S-RES-P055|AI Foundry (IDSAI)
S-RES-P056|N8-CIR
S-RES-P057|BRIAN Imaris Plugin (Milosavljevic)
S-RES-P058|Researcher Connection Tool (Faroni)
S-RES-P059|NVIDIA Omniverse Demonstrator (Margetts)
S-RES-P060|HEET Future Dams (Kuriakose)
S-RES-P061|Spanish Plume (Schultz)
S-RES-P062|CIDAR (Garcia-Carreras)
S-RES-P063|Royce Catalogue (Race)
S-RES-P064|Vaccination Data Analytics (Chen)
S-RES-P065|NERC Digital Solutions Hub
S-RES-P066|ARCHER2 eCSE (Revell)
S-RES-P067|Sami Kaski World Leading AI Fellowship
S-RES-P068|Air Quality Prediction (Topping)
S-RES-P069|Spanish Plume (Schultz) -- Duplicates P061
S-RES-P070|Determinants of COVID-19 vaccine hesitancy and acceptance
S-RES-P071|UoM Library
S-RES-P072|EOSC Life (Goble)
S-RES-P073|NERC Workshop SDEES (Schultz)
S-RES-P074|Research CFD software in T&L (Revell)
S-RES-P075|GRASS (Meah)
S-RES-P076|Python GUI for CPF (Hunt)
S-RES-P077|DfT Project (Topping)
S-RES-P078|Manchester Proteome
S-RES-P079|AInostics (Haroon, Azadbakht)
S-RES-P080|RTP-105 GPU / ML Data Compression (Camps Santasmasas)
S-RES-P081|RTP-100 KWN Deformation Tool (Joao Quinta da Fonseca)
S-RES-P082|RTP-50 LEAP (Chernyavsky/Heazell)
S-RES-P083|RTP-46 KOKU (Stanmore)
S-RES-P084|RTP-115 Health Data Science (Lai)
S-RES-P085|RTP-126 WRF and AI
S-RES-P086|RTP-52 Manc Risk Screen (Rogers)
S-RES-P087|RTP-122 Text Mining Tool (Kasmire)
S-RES-P088|RTP-119 DBO-IM (Margetts)
S-RES-P089|RTP-48 Data Acquisition Project (Parkinson)
