01|All IT - Annual Leave (Holidays)|Annual Leave (Holidays)|0
02|All IT - Sickness Absence|Sickness Absence|0
03|All IT - Other Approved Absence|Other Approved Absence|0
04|All IT - Learning, Development and Wellbeing|Learning, Development and Wellbeing|2
05|All IT - Staff Leadership/Management|Staff Leadership/Management|4
06|All IT - General Meetings & Forums|General Meetings & Forums|2
DMS|Front End Demand Management and Shaping|Front End Demand Management and Shaping|5
INC|Incidents|Incidents|2
M&P|Maintenance and Patching|Maintenance and Patching|2
P&A|Processes and Administration|HR|4
P&A|Processes and Administration|Processes and Administration|2
P&A|Processes and Administration|Service Level Management|5
P&A|Processes and Administration|Product Management|5
P00658|Digital Image Viewer|P00658-Digital Image Viewer|1
P00875|Pure Migration Project|Pure Migration Project|1
RCS02|Research Outreach Activities & Consultancy|Outreach Activities|2
RCS03|Research Applications|Research Applications|2
RCS04|Research Software & Data Engineering (RSDE) Support|Management|5
RCS04|Research Software & Data Engineering (RSDE) Support|Research Software & Data Engineering (RSDE) Support - Consultancy|2
RCS04|Research Software & Data Engineering (RSDE) Support|Research Software & Data Engineering (RSDE) Support|2
RCS04|Research Software & Data Engineering (RSDE) Support|Management activities|5
RCS03|Research Applications|Research Applications - Research applications support|2
SPI|Service Provision & Improvements|Service Provision & Improvements|5
S-RES004|Research IT External Engagement|Research IT External Engagement|2
S-RES006|Research IT Training|Training Course Admin|5
S-RES006|Research IT Training|Training Course Delivery|2
S-RES006|Research IT Training|Training Course Design|2
S-RES006|Research IT Training|General|2
S-RES007|Mobile Development Service|Deployment|5
S-RES007|Mobile Development Service|General / Consultancy|5
S-RES007|Mobile Development Service|iHelp|1
S-RES007|Mobile Development Service|Management|5
S-RES007|Mobile Development Service|Prehab|1
S-RES007|Mobile Development Service|RTP-76 Margarita Panayiotou|1
S-RES007|Mobile Development Service|RTP-80 PTSD App|1
S-RES007|Mobile Development Service|RTP-76 So.Me|1
S-RES007|Mobile Development Service|Kath Watson|1
S-RES011|Web Application Development Service|Management|5
S-RES011|Web Application Development Service|Translation Pathway (Claudia Lindner)|1
S-RES011|Web Application Development Service|Urban Development DB in African Cities (Mitlin)|1
S-RES011|Web Application Development Service|Carbon Cost Calculator|1
S-RES011|Web Application Development Service|Decent Work and City|1
S-RES011|Web Application Development Service|General / Consultancy|5
S-RES011|Web Application Development Service|E.Care - Forkprint (Riza Batista-Navarro)|5
S-RES012|Application Support Service|Support and Consultancy|2
S-RES012|Application Support Service|Management|5
S-RES012|Application Support Service|Internal Services|5
S-RES013|Research Communities and Peer Support|Coaching Provision|2
S-RES013|Research Communities and Peer Support|Peer Support|2
S-RES013|Research Communities and Peer Support|Community Work|2
S-RES013|Research Communities and Peer Support|Knowledge Transfer|2
S-RES014|Research IT Development and Wellbeing|Courses and Conferences|3
S-RES014|Research IT Development and Wellbeing|My PDR|2
S-RES014|Research IT Development and Wellbeing|Self-Study|3
S-RES014|Research IT Development and Wellbeing|Social & Wellbeing|2
S-RES014|Research IT Development and Wellbeing|Structured Coaching|2
S-RES015|Research Software Architecture|Architecture Development|6
S-RES015|Research Software Architecture|Stack Maintenance|6
S-RES015|Research Software Architecture|Technical Coaching|6
S-RES015|Research Software Architecture|Governance|6
S-RES-P018|Digital Emerging Cancer Medicine Team (AZ/UoM)|Management|5
S-RES-P018|Digital Emerging Cancer Medicine Team (AZ/UoM)|Digital Dashboard|1
S-RES-P018|Digital Emerging Cancer Medicine Team (AZ/UoM)|General|1
S-RES-P018|Digital Emerging Cancer Medicine Team (AZ/UoM)|Quality Assurance|1
S-RES-P018|Digital Emerging Cancer Medicine Team (AZ/UoM)|TARGET|1
S-RES-P019|LightForm (Materials, Quinta da Fonseca)|Management|5
S-RES-P021|Biologic Studies Group (Kath Watson)|BSRBR-RA|1
S-RES-P021|Biologic Studies Group (Kath Watson)|Management|5
S-RES-P031|e-Lab - CHI (Couch)|BRIT2|1
S-RES-P031|e-Lab - CHI (Couch)|General|1
S-RES-P044|NCISH|Management|5
S-RES-P045|SALVE (Dinsdale)|Mobile development|1
S-RES-P058|Researcher Connection Tool (Faroni)|General|1
S-RES-P071|UoM Library|Open Access Compliance Platform (OACP)|1
S-RES-P075|GRASS (Meah)|Management|5
S-RES-P078|Manchester Proteome|Website Maintenance|1
S-RES-P079|AInostics (Haroon, Azadbakht)|Management|5
S-RES-RTP-50|LEAP (Chernyavsky/Heazell)|Management|5
S-RES-RTP-46|KOKU (Stanmore)|Management|5
S-RES-RTP-40|Transcriptomics (Morias)|Management|5
S-RES-RTP-173|Mathworks Toolbox Work|PPML|1
S-RES-RTP-135|TICM (Taylor)|General|1
S-RES-RTP-135|TICM (Taylor)|Management|5
S-RES-RTP-145|GiFT (Weightman)|Management|5
S-RES-RTP-180|Polypharmacy KSS (Tjeerd van staa)|Management|5
S-RES-RTP-154|NERC Workshop 2023/24|General|1
S-RES-RTP-154|NERC Workshop 2023/24|Management|5
S-RES-RTP-18|Productivity Lab Portal (Ortega-Argiles)|Development|1
S-RES-RTP-18|Productivity Lab Portal (Ortega-Argiles)|Management|5
S-RES-RTP-18|Productivity Lab Portal (Ortega-Argiles)|Management|5
S-RES-RTP-98|HearX (Kluk-de Kort)|Development|1
S-RES-RTP-98|HearX (Kluk-de Kort)|Development|1
S-RES-RTP-99|AI Foundry (IDSAI)|General/Meetings/Other|1
S-RES-RTP-102|CDI (Rattray)|Internal Management|5
S-RES-RTP-102|CDI (Rattray)|Management|5
S-RES-RTP-106|LightForm (Materials, Quinta da Fonseca)|LightForm|1
S-RES-RTP-106|LightForm (Materials, Quinta da Fonseca)|Management|5
S-RES-RTP-119|DBO-IM (Margetts)|General|1
S-RES-RTP-119|DBO-IM (Margetts)|Management|5
S-RES-RTP-121|TOGETHER Mobile App|Development|1
S-RES-RTP-121|TOGETHER Mobile App|Management|5
S-RES-RTP-123|BioDT (eScience Lab)|Management|5
S-RES-RTP-128|RADNET (Dickie)|Management|5
S-RES-RTP-135|TICM (Taylor)|General|1
S-RES-RTP-135|TICM (Taylor)|Internal Management|5
S-RES-RTP-135|TICM (Taylor)|Management|5
S-RES-RTP-135|TICM (Taylor)|Meetings|1
S-RES-RTP-135|TICM (Taylor)|Project: FIS360|1
S-RES-RTP-135|TICM (Taylor)|Project: Mindcubes|1
S-RES-RTP-135|TICM (Taylor)|Project: SentiraXR|1
S-RES-RTP-135|TICM (Taylor)|Project: VoxANN|1
S-RES-RTP-137|DARE-FX / HDR-UK (eScience Lab)|Development|1
S-RES-RTP-137|DARE-FX / HDR-UK (eScience Lab)|Management|5
S-RES-RTP-14|Researcher Connection Tool (Faroni)|General|1
