LegacyId|Grade|Category|Description|Objective|Number
1.1.1.a|5|0|Able to demonstrate satisfactory completion of RIT Introduction to GitHub.|Yet to be agreed|1
1.1.1.b|5|0|Able to demonstrate satisfactory completion of SSI Intermediate Research Software Development or Code Refinery Standard Course.|Yet to be agreed|2
1.2.1|5|1|"Able to build professional relationships with colleagues in the RSE department, wider RIT division and the ITS directorate to progress project work."|Yet to be agreed|1
1.2.2|5|1|Put into practice the values of the RSE department and follow the Working Together Charter to establish standards of behaviour and conduct.|Yet to be agreed|2
1.2.3|5|1|Practice a sympathetic and understanding approach when dealing with customers and colleagues alike.|Yet to be agreed|3
1.3.1|5|2|Be able to follow both verbal and written instructions successfully to carry out duties.|Yet to be agreed|1
1.3.2|5|2|Able to contribute to sprint review meetings and explain technical aspects accurately to product owners in language they understand.|Yet to be agreed|2
1.3.3|5|2|"Able to use Teams channels, Jira (if applicable) and GitHub to effectively communicate with the rest of the RSE team."|Yet to be agreed|3
1.3.4|5|2|Able to write blog posts and articles for the web site and newsletter to promote RSE projects and services to our customer base.|Yet to be agreed|4
1.3.5|5|2|Able to articulate and request timely support when needed on either project or personal matters.|Yet to be agreed|5
1.3.6|5|2|Able to monitor own project progress and report accurately to project managers.|Yet to be agreed|6
1.3.7|5|2|Be able to effectively share own knowledge with others.|Yet to be agreed|7
1.3.8|5|2|Be able to use calendar and email in accordance with University/ITS best practices and Working Together Charter.|Yet to be agreed|8
1.4.1|5|3|"Able to setup new repositories with appropriate gitignore, Readme, licence and/or Git Large File Storage (LFS) configuration."|Yet to be agreed|1
1.4.2|5|3|Able to setup branch protection rules and authentication mechanisms such as personal access tokens and/or SSH keys.|Yet to be agreed|2
1.4.3|5|3|Understand and practice GitFlow using pull requests and appropriate branching techniques.|Yet to be agreed|3
1.4.4|5|3|Able to work with other developers and demonstrate confidence in integrating and merging code changes pushed by others as required and in an appropriate manner.|Yet to be agreed|4
1.4.5|5|3|Able to communicate changes effectively via commit messages.|Yet to be agreed|5
1.4.6|5|3|To be able to use GitHub to carry out GitFlow operations and communicate with reviewers.|Yet to be agreed|6
1.5.1|5|4|Able to consider an application as an entire system and design both high-level and low-level building blocks.|Yet to be agreed|1
1.5.2|5|4|Able to design architectural building blocks with both state and behaviour and identify and design relevant services needed for implementation.|Yet to be agreed|2
1.5.3|5|4|Able to communicate designs using a suitable diagramming tool such as C4.|Yet to be agreed|3
1.6.1|5|5|Understand and practice sound engineering process: Requirements -> Design -> Build -> Test -> Refine.|Yet to be agreed|1
1.6.2|5|5|"Able to capture customer requirements and elicit their meaning, breaking down the requirement in features or tasks to aid implementation."|Yet to be agreed|2
1.6.3|5|5|Able to design and write tests and conduct testing using automated testing tools where appropriate.|Yet to be agreed|3
1.6.4|5|5|Able to write specifications and user guides.|Yet to be agreed|4
1.6.5|5|5|"Understand different types of environments for development, staging/testing and production."|Yet to be agreed|5
1.7.1|5|6|Understand and follow clean code principles.|Yet to be agreed|1
1.7.2|5|6|"Able to write modular, robust, maintainable, performant code adhering to any project coding standards."|Yet to be agreed|2
1.7.3|5|6|"Be able to confidently use IDEs to write and debug code following logical debugging approaches, conducting root cause analysis to produce quality, bug free, fit for purpose software."|Yet to be agreed|3
1.7.4|5|6|Be able to identify existing knowledge in the team and ask as a first port of call for support to ensure support and training is received as efficiently as possible.|Yet to be agreed|4
1.7.5|5|6|"Be able to identify team-mates, documentation, videos and training to fill gaps in knowledge as required by a project or a particular feature and share with the wider RSE team as necessary."|Yet to be agreed|5
1.8.1|5|7|Able to work with other RSEs on projects as required.|Yet to be agreed|1
1.8.2|5|7|Able to work on multiple projects simultaneously and appropriately manage time.|Yet to be agreed|2
1.8.3|5|7|"Understand the RSE team development process and conduct the parts of the process within the remit of the RSE role as stated witin the <a href=""""https://stunning-barnacle-evv7695.pages.github.io/handbook.html"""">Agile Handbook</a>."|Yet to be agreed|3
1.8.4|5|7|"Able to use Jira and/or GitHub projects confidently to track requirements, features and progress in sprints."|Yet to be agreed|4
1.8.5|5|7|Identify shortcomings of departmental documentation and processes and log issues for discussion on a relevant issue tracker (e.g. Levelling Up Programme GitHub).|Yet to be agreed|5
1.8.6|5|7|Able to locate and consult any RSE departmental documentation to support development activity and identify and use team resources.|Yet to be agreed|6
1.9.1|5|8|"Able to clean, transform and manage research data source into a format suitable for onward analysis or use in applications."|Yet to be agreed|1
1.9.2|5|8|Able to identify suitable data storage options in accordance with data protection and information governance policies.|Yet to be agreed|2
2.1.1.a|6|0|Ensure satisfactory completion of RSE Agile Project Management (Developer Role)|Yet to be agreed|1
2.2.1|6|1|Able to consistently set an example to junior colleagues in terms of behaviour and attitude including those detailed in the Working Together Charter.|Yet to be agreed|1
2.2.2|6|1|Able to mentor less experienced members of the department and effectively train and upskill others.|Yet to be agreed|2
2.2.3|6|1|"Able to take the lead on social (e.g. coffee time), community-building (e.g. language user groups or CaDiR spaces) or other activities (e.g. peer support sessions, the show and tell list) that increase departmental cohesion and knowledge sharing."|Yet to be agreed|3
2.2.4|6|1|"Able to effectively support our research community by contributing actively to service requests from the App Support service, providing training as a leader or helper on training courses and assisting with technical queries received via drop-in sessions or direct email."|Yet to be agreed|4
2.3.1|6|2|"Able to write and give presentations about projects or the RSE department to audiences in the University and nationally as part of the wider UK RSE community (e.g. at RSECon, N8 RSE Meet-ups, Collaborations Workshop, technical meetings associated with project work).  "|Yet to be agreed|1
2.4.1|6|3|Able to rewrite version history in the case of errors to maintain accurate and appropriate version history using interactive rebasing or similar.|"<ol><li>Read the Atlassian article on &quot;<a href=""https://www.atlassian.com/git/tutorials/rewriting-history"">Rewriting History</a>&quot;.</li><li>Setup a toy repository to practice the technique using Git CLI or a UI application such as SourceTree.</li><li>Push the toy repository to demonstrate competency.</li></ol>"|1
2.4.2|6|3|Able to perform PR reviews via GitHub and give useful feedback through the interface.|"<ol><li>Read the GitHub documentation on &quot;<a href=""https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/reviewing-changes-in-pull-requests/reviewing-proposed-changes-in-a-pull-request"">Pull Request Reviews</a>&quot;.</li><li>For an active project of which you have an appropriate level of technical knowledge, volunteer to act as PR reviewer for one of the RSEs working on the project.</li><li>When a PR is raised via GitHub, use the GitHub interface to record a review of the PR adding comments throughout the changes files and providing an overall review outcome to return to the PR owner.</li><li>Seek feedback on the usefulness of the review from the RSE and others to refine your technique and demonstrate the competency.</li></ol>"|2
2.4.3|6|3|"Able to configure and use more advanced features of GitHub including CI/CD and automated checks, building, testing and package distribution   as appropriate."|"<ol><li>Read the <a href=""https://docs.github.com/en/actions/learn-github-actions/understanding-github-actions"">GitHub Actions documentation</a> or watch the <a href=""https://www.youtube.com/watch?v=TLB5MY9BBa4"">90 minute YouTube course</a> to understand its features and the general mechanisms for its usage and configuration.</li><li>Create a toy project and push to GitHub.</li><li>Use the toy project to experiment with GitHub Actions and both community / custom workflows and actions to run tests, package and deploy (as a container image or otherwise) software to demonstrate competency.</li></ol>"|3
2.4.4|6|3|Make use of more advanced features such as Git sub-modules to organise dependencies.|"<ol><li>Read the <a href=""https://www.atlassian.com/git/tutorials/git-submodule"">Atlassian documentation on git submodules</a>.</li><li>Create two toy repositories and configure one repository to be a sub-module of another.</li><li>Develop both modules to discover how tracking works between a parent module and its sub-module in the version history.</li><li>Push both repos and clear your local copies then re-clone to familiarise yourself with the nuances of cloning a git repository that has sub-modules.</li></ol>"|4
2.5.1|6|4|"Able to evaluate and refine an architecture to increase performance, efficiency and maximise code re-use and maintainability while reducing complexity."|Yet to be agreed|1
2.6.1|6|5|"Able to self-motivate, self-develop and work independently, without supervision, to successfully complete tasks and projects withing agreed timescales, scope and to the highest quality commensurate with available budget and timescales.  "|Yet to be agreed|1
2.6.2|6|5|"Able to identify whether automated testing is appropriate, how it can be applied and choose appropriate frameworks and services to implement them."|Yet to be agreed|2
2.6.3|6|5|Able to evaluate designs and suggest improvements and plan refinement iterations.|Yet to be agreed|3
2.6.4|6|5|Able to recognise deficient engineering practice and have the confidence to suggest and implement improvements to the processes used on a project.|Yet to be agreed|4
2.7.1|6|6|Able to identify low quality code and be able to suggest and implement improvements.|Yet to be agreed|1
2.7.2|6|6|Able to identify and use cutting edge technologies and libraries to enhance applications with little to no prior knowledge through efficient and structured self-tuition  .|Yet to be agreed|2
2.8.1|6|7|"Able to hold sprint review meetings and code review sessions regularly throughout projects to ensure work is completed on time, to spec, within budget and to an appropriate level of quality."|Yet to be agreed|1
2.8.2|6|7|"Able to contribute to departmental operations by working with the RSE leadership team: for example, to aid in recruitment by developing job adverts and carrying out shortlisting and interviewing.  "|Yet to be agreed|2
2.9.1|6|9|"Able to take technical responsibility for a solution or key area of a larger solution, demonstrating a high-level of technical competence and experience in design and implementation.  "|Yet to be agreed|1
2.9.2|6|9|"Able to carry out &quot;support-style&quot; projects, advising, assisting and &quot;managing&quot; researchers to ensure code is developed to the highest-level of quality commensurate with budget and timescale restrictions, and follows departmental recommendations for best practice (e.g. agile ways of working, clean code principles etc.).  "|Yet to be agreed|2
2.10.1|6|8|Able to complete Information Governance Risk Review   assessments in conjunction with researchers and RSE leads and liaise with ITS Security to ensure solutions comply with Technical Security Standards.|Yet to be agreed|1
2.10.2|6|8|Able to identify and comfortably integrate applications with wider parts of the ITS estate as appropriate such as 2FA and CAS services.|<ol><li>Understand the different central authentication systems at the University that provide authentication against our Active Directory.</li><li>Integrate a live project (or a toy project) into 2FA or CAS to demonstrate competency.</li></ol>|2
2.11.1|6|10|Able to review and improve existing training material.|Yet to be agreed|1
2.11.2|6|10|Able to run training events as course leader.|Yet to be agreed|2
3.1.1|7|0|Able to exemplify the culture of the department through evangelising the Working Together Charter and its merits.|Yet to be agreed|1
3.1.2|7|0|Able to confidently raise concerns and issues associated with any aspect of the department via appropriate channels.|Yet to be agreed|2
3.1.3|7|0|"Able to adapt to a dynamic operational environment, pivoting skills and approaches and switching contexts as dictated by the split of duties."|Yet to be agreed|3
3.1.4|7|0|"Able to effectively delegate when appropriate, or work with other managers as necessary to manage workload and continue to support department operation."|"<ol><li>Examine current To Do list and categorise each item according to the Eisenhower matrix.</li><li>For those deemed Urgent but Unimportant (or even Not Urgent but Important), consider a colleague (not necessarily more junior), who would be able to complete the task on your behalf such that:<ol><li>They can perform it with little to no supervision.</li><li>It offers an opportunity for them to learn something new, satisfy a competency, or develop a skill that will help you delegate to them more in the future.</li></ol></li><li> Continue this practice until you feel you have at least one avenue for &quot;delegating tasks with trust&quot;. </li></ol>"|4
3.1.5.a|7|0|Able to demonstrate satisfactory completion of Managing at Manchester|<ol><li>Complete Managing at Manchester.</li><li>Reflect on where the practices learnt can be applied to your job.</li><li>Apply practices and assess their impact.</li></ol>|5
3.1.5.b|7|0|Able to demonstrate satisfactory completion of TSLD12 Project Management - Foundation Level|<ol><li>Complete TSLD12 Project Management - Foundation Level.</li><li>Reflect on where the practices learnt can be applied to your job.</li><li>Apply practices and assess their impact.</li></ol>|6
3.2.1|7|10|Able to identify demand for training courses and manage departmental training strategy.|Yet to be agreed|1
3.2.2|7|10|Able to propose and develop new courses and associated material.|Yet to be agreed|2
3.2.3|7|10|Able to assume operational responsibility for the training capability of the department and ensure it is administered effectively and delivers on its objectives.|Yet to be agreed|3
3.2.4.a|7|10|Able to demonstrate successful completion of TMS71 Coaching Skills for Managers.|<ol><li>Sign up and complete TMS71 Coaching Skills for Managers.</li><li>Put knowledge into practice and evaluate its effectiveness.</li></ol>|4
